umap1	umap2	tok	year_label
10.462533	5.479509	3.571	0
7.619193	8.163077	mc903	0
7.48735	3.0805442	riskfactor	0
21.996948	-1.4052384	minicircle	0
13.2319765	4.1325417	vtach	0
12.786169	10.623718	gene_130749	0
23.188116	-1.5946494	gene_22221	0
9.316363	6.5563965	preneoplasic	0
8.585002	3.3653882	t(df	0
9.588791	-4.184581	touchdown	0
18.290604	10.388799	geotechnical	0
10.213748	0.7617833	kneepad	0
4.3067036	-0.9954064	gene_90	0
6.7755632	-0.19070385	verdoheme	0
11.012964	4.966195	2.139	0
13.932447	0.056397866	triiodide	0
11.163785	12.7894	species_11909	0
-1.8022245	-1.2296294	siii	0
6.5693774	0.626469	nonorthologous	0
6.727811	-5.5617642	biolyte	0
7.1376295	5.725516	phospholipolysis	0
10.79278	6.8722944	bastante	0
5.8160934	8.227386	postlarvae	0
11.9624	12.658658	off1	0
1.8627104	4.1410913	cbvs	0
9.810307	1.3787426	o-(6'-o	0
9.716154	3.1743872	efficiencies	0
14.483929	-2.323287	lmpg	0
16.994257	4.1734667	6e1	0
16.204	5.971268	chemical_mesh_c456587	0
15.0239725	13.225904	viagen	0
11.908611	2.0204759	biemann	0
12.569519	9.721635	phaseoleae	0
12.140592	7.8784657	0.00066	0
13.8512535	-2.8536794	udpga	0
14.103898	-3.0979033	rotashield	0
15.054086	-2.3521717	irsf	0
11.812567	3.1731517	palacios	0
14.762238	0.53195995	c3h10t1/2	0
12.634146	5.3228273	thulium	0
7.6988015	3.8449342	l139	0
10.789758	4.5385575	emerged	0
9.052306	10.124638	neotetraose	0
6.2833915	-1.0221115	antiaging	0
14.035157	-0.018300217	elble	0
8.5362425	11.281701	imu	0
17.196283	7.398953	aphakia	0
11.345721	6.6805596	horst	0
11.830709	4.756853	-.028	0
7.1394114	-6.754344	5'-drp	0
14.059867	-0.16622894	chemical_mesh_c008070	0
12.584131	-1.0130945	-rider	0
12.601799	7.4884257	-15.8	0
7.816299	-3.3713262	depoliticise	0
9.759105	-7.41582	gene_348801	0
14.397807	6.950961	.23	0
10.417299	4.7440333	252.8	0
2.807326	-5.080842	disqualification	0
9.956348	5.142138	491.8	0
8.660239	3.8641462	ab7300	0
3.2399292	-1.4748579	bioremediation	0
10.330046	5.6415386	physiography	0
9.726983	4.9140964	6.667	0
6.2465415	5.7602124	mesilate	0
14.739841	3.4170125	gene_30559	0
10.645319	10.908182	disease_mesh_c563614	0
11.315393	3.335847	v.15.0	0
